date,year,month,tmax,tmin,prec
1981-04-25,1981,4,32.8,22.2,6.9
1981-04-26,1981,4,28.4,18.6,34.7
1981-04-27,1981,4,24.4,16.3,10.7
1981-04-28,1981,4,30.1,22.8,10.2
1981-04-29,1981,4,23.0,12.3,0
1981-04-30,1981,4,24.8,15.7,14.2
1981-05-01,1981,5,33.9,25.8,34.3
1981-05-02,1981,5,34.6,25.4,21.2
1981-05-03,1981,5,33.7,24.5,22.9
1981-05-04,1981,5,31.3,26.2,3.7
1981-05-05,1981,5,30.9,22.7,2.0
1981-05-06,1981,5,36.7,31.9,4.3
1981-05-07,1981,5,31.7,23.6,42.4
1981-05-08,1981,5,35.6,28.7,0.5
1981-05-09,1981,5,33.8,27.4,19.8
1981-05-10,1981,5,32.2,26.3,5.9
1981-05-11,1981,5,36.1,27.5,27.2
1981-05-12,1981,5,37.0,26.3,42.9
1981-05-13,1981,5,34.3,25.3,18.6
1981-05-14,1981,5,34.8,24.5,18.7
1981-05-15,1981,5,34.5,25.4,28.5
1981-05-16,1981,5,33.5,25.9,60.5
1981-05-17,1981,5,36.2,27.1,0
1981-05-18,1981,5,30.4,21.2,10.7
1981-05-19,1981,5,28.7,21.9,78.0
1981-05-20,1981,5,35.9,30.6,0
1981-05-21,1981,5,32.8,27.5,6.6
1981-05-22,1981,5,39.3,30.4,7.6
1981-05-23,1981,5,32.2,26.3,22.7
1981-05-24,1981,5,31.3,25.7,137.6
1981-05-25,1981,5,32.5,22.6,5.2
1981-05-26,1981,5,34.9,26.3,15.6
1981-05-27,1981,5,30.6,22.1,0
1981-05-28,1981,5,34.8,28.0,7.5
1981-05-29,1981,5,35.0,27.5,28.6
1981-05-30,1981,5,33.3,26.5,16.5
1981-05-31,1981,5,34.9,24.9,11.2
1981-06-01,1981,6,39.1,33.4,1.7
1981-06-02,1981,6,34.8,24.8,4.7
1981-06-03,1981,6,30.9,22.6,1.2
1981-06-04,1981,6,30.5,21.7,1.1
1981-06-05,1981,6,32.8,24.3,0.0
1981-06-06,1981,6,34.5,24.8,0.7
1981-06-07,1981,6,37.1,30.5,2.0
1981-06-08,1981,6,39.6,32.0,1.5
1981-06-09,1981,6,40.1,30.8,0.3
1981-06-10,1981,6,37.4,29.7,2.3
1981-06-11,1981,6,38.3,30.9,4.3
1981-06-12,1981,6,36.3,27.6,0.6
1981-06-13,1981,6,36.6,30.7,1.4
1981-06-14,1981,6,33.6,26.3,0.6
1981-06-15,1981,6,32.2,25.1,2.1
1981-06-16,1981,6,33.8,25.3,1.1
1981-06-17,1981,6,36.7,30.4,1.2
1981-06-18,1981,6,35.7,30.7,0.6
1981-06-19,1981,6,36.5,28.1,8.7
1981-06-20,1981,6,35.2,28.3,2.8
1981-06-21,1981,6,34.1,26.6,0.4
1981-06-22,1981,6,34.7,28.9,1.8
1981-06-23,1981,6,37.6,29.3,6.7
1981-06-24,1981,6,35.0,26.2,2.8
1981-06-25,1981,6,28.2,16.5,3.9
1981-06-26,1981,6,36.8,29.8,0.0
1981-06-27,1981,6,32.5,25.8,3.9
1981-06-28,1981,6,33.0,27.7,1.4
1981-06-29,1981,6,38.8,31.2,4.0
1981-06-30,1981,6,34.9,27.2,0.2
1981-07-01,1981,7,33.4,25.5,0.8
1981-07-02,1981,7,32.9,23.9,1.0
1981-07-03,1981,7,33.9,26.3,2.8
1981-07-04,1981,7,30.0,21.2,3.2
1981-07-05,1981,7,28.5,19.5,0.8
1981-07-06,1981,7,36.1,25.5,1.1
1981-07-07,1981,7,34.2,26.8,0.0
1981-07-08,1981,7,32.8,26.0,6.1
1981-07-09,1981,7,36.1,25.6,0.3
1981-07-10,1981,7,35.4,28.3,2.0
1981-07-11,1981,7,31.6,21.2,4.2
1981-07-12,1981,7,30.2,23.6,0.0
1981-07-13,1981,7,35.0,27.3,1.4
1981-07-14,1981,7,34.0,27.6,1.3
1981-07-15,1981,7,40.0,33.3,1.7
1981-07-16,1981,7,32.6,27.8,5.5
1981-07-17,1981,7,30.1,22.3,1.0
1981-07-18,1981,7,32.5,23.9,4.2
1981-07-19,1981,7,35.8,28.5,6.5
1981-07-20,1981,7,31.8,20.8,2.7
1981-07-21,1981,7,31.5,22.9,0.0
1981-07-22,1981,7,36.7,31.7,0.9
1981-07-23,1981,7,30.7,22.6,3.4
1981-07-24,1981,7,30.1,22.3,0.9
1981-07-25,1981,7,34.1,25.6,1.1
1981-07-26,1981,7,35.5,26.8,4.2
1981-07-27,1981,7,33.2,22.8,1.5
1981-07-28,1981,7,32.3,23.1,8.9
1981-07-29,1981,7,27.9,19.1,4.1
1981-07-30,1981,7,33.9,26.6,1.8
1981-07-31,1981,7,33.4,25.1,1.6
1981-08-01,1981,8,28.7,20.5,1.1
1981-08-02,1981,8,20.4,11.5,0.0
1981-08-03,1981,8,26.8,18.8,0.4
1981-08-04,1981,8,23.6,16.5,1.8
1981-08-05,1981,8,24.5,16.5,0.3
1981-08-06,1981,8,21.3,14.5,0.2
1981-08-07,1981,8,28.1,18.1,1.7
1981-08-08,1981,8,25.5,21.4,2.6
1981-08-09,1981,8,28.3,18.9,0.5
1981-08-10,1981,8,29.5,21.1,0.5
1981-08-11,1981,8,27.4,20.3,1.3
1981-08-12,1981,8,29.1,21.2,0.7
1981-08-13,1981,8,22.9,13.4,1.7
1981-08-14,1981,8,25.3,19.4,0.9
1981-08-15,1981,8,30.6,22.5,0.5
1981-08-16,1981,8,26.6,19.6,0.0
1981-08-17,1981,8,24.0,16.4,5.5
1981-08-18,1981,8,29.8,21.3,0.1
1981-08-19,1981,8,33.6,26.7,2.2
1981-08-20,1981,8,25.4,19.5,0.6
1981-08-21,1981,8,27.2,17.8,0.0
1981-08-22,1981,8,25.2,16.8,3.9
1981-08-23,1981,8,28.7,19.7,0.4
1981-08-24,1981,8,30.6,20.9,1.9
1981-08-25,1981,8,25.9,16.9,0.0
1981-08-26,1981,8,24.7,15.0,2.4
1981-08-27,1981,8,29.8,22.0,0.2
1981-08-28,1981,8,23.7,18.0,0.5
1981-08-29,1981,8,23.0,17.0,0.0
1981-08-30,1981,8,27.7,21.5,1.4
1981-08-31,1981,8,25.1,17.4,2.0
1981-09-01,1981,9,21.5,12.7,0.5
1981-09-02,1981,9,19.3,10.9,0.0
1981-09-03,1981,9,22.5,12.3,0.0
1981-09-04,1981,9,21.9,14.5,0.3
1981-09-05,1981,9,23.9,12.2,0.0
1981-09-06,1981,9,19.1,14.3,0.1
1981-09-07,1981,9,20.9,13.9,0.2
1981-09-08,1981,9,17.5,10.9,0.2
1981-09-09,1981,9,20.9,11.2,0.0
1981-09-10,1981,9,22.0,13.6,0.0
1981-09-11,1981,9,23.7,15.0,0.6
1981-09-12,1981,9,19.7,11.2,0.0
1981-09-13,1981,9,20.7,11.4,0.3
1981-09-14,1981,9,17.4,10.3,0.0
1981-09-15,1981,9,22.2,15.8,0.0
1981-09-16,1981,9,23.2,14.3,0.0
1981-09-17,1981,9,20.2,11.0,0.2
1981-09-18,1981,9,19.8,13.3,0.0
1981-09-19,1981,9,17.1,8.4,0.0
1981-09-20,1981,9,19.3,11.8,0.3
1981-09-21,1981,9,21.0,14.9,0.0
1981-09-22,1981,9,23.3,17.0,0.2
1981-09-23,1981,9,19.5,12.7,0.1
1981-09-24,1981,9,21.0,11.9,0.8
1981-09-25,1981,9,23.9,15.4,0.0
1981-09-26,1981,9,23.7,16.6,0.8
1981-09-27,1981,9,23.0,13.3,0.7
1981-09-28,1981,9,23.0,13.5,0.0
1981-09-29,1981,9,18.4,11.7,0.0
1981-09-30,1981,9,17.8,9.3,0.2
1981-10-01,1981,10,15.1,6.1,2.1
1981-10-02,1981,10,9.5,0.7,4.7
1981-10-03,1981,10,12.9,5.5,0
1981-10-04,1981,10,13.6,5.0,12.7
1981-10-05,1981,10,12.1,6.8,4.4
1981-10-06,1981,10,15.8,9.7,8.5
1981-10-07,1981,10,4.8,-2.8,9.1
1981-10-08,1981,10,11.8,4.2,0
1981-10-09,1981,10,12.9,3.9,15.3
1981-10-10,1981,10,9.6,2.7,0
1981-10-11,1981,10,15.0,8.3,9.9
1981-10-12,1981,10,9.7,1.5,8.5
1981-10-13,1981,10,8.3,0.2,0
1981-10-14,1981,10,13.0,4.9,0
1981-10-15,1981,10,13.1,7.3,7.8
1981-10-16,1981,10,12.6,3.4,3.1
1981-10-17,1981,10,12.8,3.4,9.0
1981-10-18,1981,10,9.0,0.5,17.6
1981-10-19,1981,10,10.3,1.2,3.1
1981-10-20,1981,10,10.1,0.1,1.0
1981-10-21,1981,10,14.8,7.2,12.5
1981-10-22,1981,10,8.8,1.6,25.5
1981-10-23,1981,10,7.7,-0.9,0
1981-10-24,1981,10,15.9,9.8,0
1981-10-25,1981,10,13.8,9.5,0
1981-10-26,1981,10,13.3,5.2,23.8
1981-10-27,1981,10,14.7,5.8,0.5
1981-10-28,1981,10,12.5,3.9,10.8
1981-10-29,1981,10,12.6,5.3,5.2
1981-10-30,1981,10,11.5,2.5,0
1981-10-31,1981,10,10.7,1.6,7.7
1981-11-01,1981,11,4.7,-3.3,13.8
1981-11-02,1981,11,10.5,1.7,0.1
1981-11-03,1981,11,2.7,-5.4,26.8
1981-11-04,1981,11,7.2,-1.5,17.1
1981-11-05,1981,11,8.5,-1.9,51.9
1981-11-06,1981,11,12.7,4.5,11.9
1981-11-07,1981,11,6.0,0.1,20.4
1981-11-08,1981,11,4.9,-2.1,32.1
1981-11-09,1981,11,6.4,-2.1,29.1
1981-11-10,1981,11,7.7,0.1,44.4
1981-11-11,1981,11,7.9,0.1,30.2
1981-11-12,1981,11,2.8,-2.3,39.2
1981-11-13,1981,11,5.3,-3.0,6.1
1981-11-14,1981,11,7.6,-0.5,44.3
1981-11-15,1981,11,6.0,-3.2,125.4
1981-11-16,1981,11,11.0,2.9,0.5
1981-11-17,1981,11,8.7,-0.0,5.5
1981-11-18,1981,11,6.3,0.1,44.5
1981-11-19,1981,11,4.4,-4.2,30.3
1981-11-20,1981,11,4.1,-3.4,17.0
1981-11-21,1981,11,8.7,1.5,21.5
1981-11-22,1981,11,9.0,-0.8,6.2
1981-11-23,1981,11,7.4,-2.0,18.8
1981-11-24,1981,11,1.0,-5.6,10.7
1981-11-25,1981,11,7.6,-2.4,4.3
1981-11-26,1981,11,6.2,0.3,30.1
1981-11-27,1981,11,8.3,2.1,32.6
1981-11-28,1981,11,10.7,3.2,9.9
1981-11-29,1981,11,6.1,-0.4,16.7
1981-11-30,1981,11,7.1,-0.5,10.5
1981-12-01,1981,12,7.7,-1.4,129.3
1981-12-02,1981,12,2.4,-4.4,0
1981-12-03,1981,12,12.7,5.9,29.3
1981-12-04,1981,12,3.4,-6.2,33.7
1981-12-05,1981,12,2.2,-1.9,25.1
1981-12-06,1981,12,2.8,-7.5,80.0
1981-12-07,1981,12,1.8,-9.6,1.7
1981-12-08,1981,12,5.5,-3.1,7.1
1981-12-09,1981,12,4.5,-0.7,21.9
1981-12-10,1981,12,3.8,-3.4,49.3
1981-12-11,1981,12,4.1,-3.2,54.3
1981-12-12,1981,12,-0.8,-9.2,51.1
1981-12-13,1981,12,0.5,-6.0,115.9
1981-12-14,1981,12,4.6,-1.5,56.1
1981-12-15,1981,12,2.5,-4.9,20.5
1981-12-16,1981,12,2.3,-5.0,38.6
1981-12-17,1981,12,0.4,-6.1,44.1
1981-12-18,1981,12,4.9,-3.0,33.6
1981-12-19,1981,12,5.5,-2.3,25.3
1981-12-20,1981,12,5.8,-2.9,39.4
1981-12-21,1981,12,0.7,-7.1,1.2
1981-12-22,1981,12,3.9,-2.1,25.9
1981-12-23,1981,12,5.7,-4.0,134.1
1981-12-24,1981,12,-0.8,-8.9,2.0
1981-12-25,1981,12,1.7,-6.8,21.0
1981-12-26,1981,12,5.3,-2.1,43.6
1981-12-27,1981,12,3.3,-1.9,0.3
1981-12-28,1981,12,-1.3,-9.3,17.6
1981-12-29,1981,12,4.3,-4.3,71.7
1981-12-30,1981,12,3.5,-7.0,84.8
1981-12-31,1981,12,4.4,-3.7,26.5
1982-01-01,1982,1,6.0,-0.4,70.2
1982-01-02,1982,1,3.9,-5.2,24.6
1982-01-03,1982,1,7.0,0.4,21.2
1982-01-04,1982,1,8.7,-4.2,4.8
1982-01-05,1982,1,10.8,2.2,7.9
1982-01-06,1982,1,10.0,1.2,62.8
1982-01-07,1982,1,9.3,0.7,7.0
1982-01-08,1982,1,5.1,-3.9,27.1
1982-01-09,1982,1,2.2,-6.0,5.4
1982-01-10,1982,1,13.4,7.1,15.6
1982-01-11,1982,1,6.7,-3.9,0.2
1982-01-12,1982,1,7.6,0.0,23.3
1982-01-13,1982,1,5.1,-3.4,0
1982-01-14,1982,1,0.3,-6.1,28.8
1982-01-15,1982,1,13.0,3.3,21.4
1982-01-16,1982,1,7.9,0.2,0
1982-01-17,1982,1,4.3,-1.6,100.2
1982-01-18,1982,1,8.6,0.3,6.4
1982-01-19,1982,1,10.8,2.9,50.3
1982-01-20,1982,1,10.7,0.9,54.0
1982-01-21,1982,1,10.2,1.6,0
1982-01-22,1982,1,4.5,-4.2,12.4
1982-01-23,1982,1,4.4,-2.1,43.0
1982-01-24,1982,1,14.1,4.7,10.6
1982-01-25,1982,1,3.7,-3.1,15.6
1982-01-26,1982,1,5.6,-4.3,59.7
1982-01-27,1982,1,10.5,5.2,0
1982-01-28,1982,1,6.1,-3.3,10.3
1982-01-29,1982,1,12.6,7.1,62.0
1982-01-30,1982,1,2.5,-3.2,0
1982-01-31,1982,1,-0.2,-10.4,2.7
1982-02-01,1982,2,17.0,6.3,20.0
1982-02-02,1982,2,14.9,6.0,2.1
1982-02-03,1982,2,11.1,1.3,0
1982-02-04,1982,2,9.0,1.9,0
1982-02-05,1982,2,10.9,2.3,1.9
1982-02-06,1982,2,15.4,6.7,8.0
1982-02-07,1982,2,13.2,5.2,25.3
1982-02-08,1982,2,8.8,-1.3,31.7
1982-02-09,1982,2,16.8,6.6,13.5
1982-02-10,1982,2,10.5,5.6,0
1982-02-11,1982,2,16.4,5.3,11.3
1982-02-12,1982,2,9.6,1.7,1.7
1982-02-13,1982,2,10.6,3.2,19.3
1982-02-14,1982,2,11.5,4.3,0
1982-02-15,1982,2,11.2,2.6,2.4
1982-02-16,1982,2,13.0,5.4,11.6
1982-02-17,1982,2,15.5,10.6,8.8
1982-02-18,1982,2,10.9,1.6,16.0
1982-02-19,1982,2,11.6,2.6,22.2
1982-02-20,1982,2,13.1,5.3,8.3
1982-02-21,1982,2,11.0,2.5,22.9
1982-02-22,1982,2,15.8,7.8,0
1982-02-23,1982,2,12.8,3.3,0
1982-02-24,1982,2,7.6,-0.2,0
1982-02-25,1982,2,13.8,3.8,0
1982-02-26,1982,2,13.1,0.4,22.8
1982-02-27,1982,2,16.4,8.4,11.0
1982-02-28,1982,2,13.4,5.3,19.7
1982-03-01,1982,3,17.8,10.9,5.6
1982-03-02,1982,3,22.2,15.1,2.5
1982-03-03,1982,3,15.8,7.8,0
1982-03-04,1982,3,21.5,10.4,0.8
1982-03-05,1982,3,30.2,22.6,0
1982-03-06,1982,3,17.7,8.0,10.6
1982-03-07,1982,3,17.5,9.9,0.9
1982-03-08,1982,3,17.4,11.5,4.1
1982-03-09,1982,3,21.8,14.2,0
1982-03-10,1982,3,21.9,12.2,11.4
1982-03-11,1982,3,24.5,15.1,1.9
1982-03-12,1982,3,20.8,11.3,0
1982-03-13,1982,3,23.9,17.3,0
1982-03-14,1982,3,21.2,14.0,0
1982-03-15,1982,3,20.5,15.9,0.0
1982-03-16,1982,3,13.5,5.0,5.3
1982-03-17,1982,3,16.1,7.6,4.3
1982-03-18,1982,3,18.9,11.1,0
1982-03-19,1982,3,18.7,10.5,0.5
1982-03-20,1982,3,20.9,15.8,6.3
1982-03-21,1982,3,16.7,4.9,0
1982-03-22,1982,3,19.8,11.2,0
1982-03-23,1982,3,18.2,11.4,4.1
1982-03-24,1982,3,25.1,18.8,8.6
1982-03-25,1982,3,23.6,14.3,5.4
1982-03-26,1982,3,19.6,11.7,5.6
1982-03-27,1982,3,16.5,9.0,0
1982-03-28,1982,3,20.6,14.4,0
1982-03-29,1982,3,16.4,9.2,0
1982-03-30,1982,3,20.1,14.9,3.0
1982-03-31,1982,3,20.7,13.2,0
1982-04-01,1982,4,29.3,17.3,6.8
1982-04-02,1982,4,24.9,15.5,5.8
1982-04-03,1982,4,26.1,17.6,31.7
1982-04-04,1982,4,28.9,23.3,3.8
1982-04-05,1982,4,30.5,23.1,4.5
1982-04-06,1982,4,24.9,15.6,0
1982-04-07,1982,4,25.6,16.0,20.1
1982-04-08,1982,4,27.1,18.1,8.2
1982-04-09,1982,4,28.9,21.8,0.1
1982-04-10,1982,4,25.8,15.1,13.6
1982-04-11,1982,4,27.0,18.9,4.7
1982-04-12,1982,4,27.8,20.7,0
1982-04-13,1982,4,25.6,18.5,0
1982-04-14,1982,4,27.0,20.1,28.3
1982-04-15,1982,4,28.9,18.6,43.7
1982-04-16,1982,4,28.6,20.1,24.3
1982-04-17,1982,4,25.9,18.3,0
1982-04-18,1982,4,29.5,22.0,10.1
1982-04-19,1982,4,30.0,21.3,11.9
1982-04-20,1982,4,27.0,20.1,3.8
1982-04-21,1982,4,24.4,17.2,3.1
1982-04-22,1982,4,26.8,17.5,0.6
1982-04-23,1982,4,26.0,17.2,5.9
1982-04-24,1982,4,26.9,17.2,13.9
1982-04-25,1982,4,23.8,15.2,0
1982-04-26,1982,4,27.6,20.7,7.6
1982-04-27,1982,4,29.0,19.3,1.1
1982-04-28,1982,4,22.7,13.9,0.3
1982-04-29,1982,4,28.4,20.4,4.7
1982-04-30,1982,4,32.5,24.1,28.1
1982-05-01,1982,5,34.9,24.5,5.0
1982-05-02,1982,5,35.7,26.2,0
1982-05-03,1982,5,26.4,20.0,32.6
1982-05-04,1982,5,31.7,23.7,61.5
1982-05-05,1982,5,29.6,23.6,2.8
1982-05-06,1982,5,33.1,23.8,5.7
1982-05-07,1982,5,31.7,24.1,62.3
1982-05-08,1982,5,29.8,20.8,36.9
1982-05-09,1982,5,32.8,24.1,13.3
1982-05-10,1982,5,36.5,29.6,12.0
1982-05-11,1982,5,33.2,26.8,106.0
1982-05-12,1982,5,32.3,25.2,36.1
1982-05-13,1982,5,36.1,25.4,68.6
1982-05-14,1982,5,33.6,28.1,57.6
1982-05-15,1982,5,33.7,27.3,27.7
1982-05-16,1982,5,37.4,31.5,19.9
1982-05-17,1982,5,36.2,29.6,4.7
1982-05-18,1982,5,34.1,27.5,0
1982-05-19,1982,5,34.0,24.3,34.5
1982-05-20,1982,5,31.5,22.1,23.0
1982-05-21,1982,5,28.7,20.9,3.1
1982-05-22,1982,5,34.9,26.5,0
1982-05-23,1982,5,30.8,20.4,20.8
1982-05-24,1982,5,32.8,25.7,16.9
1982-05-25,1982,5,32.1,21.0,23.7
1982-05-26,1982,5,38.6,32.4,65.9
1982-05-27,1982,5,32.0,23.9,1.7
1982-05-28,1982,5,37.8,29.3,0
1982-05-29,1982,5,32.2,23.2,7.6
1982-05-30,1982,5,31.8,24.4,0
1982-05-31,1982,5,28.8,17.5,3.1
1982-06-01,1982,6,30.6,21.9,2.3
1982-06-02,1982,6,37.0,28.3,0.2
1982-06-03,1982,6,32.0,24.6,1.1
1982-06-04,1982,6,32.1,24.1,1.9
1982-06-05,1982,6,34.4,26.8,0.4
1982-06-06,1982,6,34.3,27.2,1.5
1982-06-07,1982,6,37.8,28.8,3.7
1982-06-08,1982,6,31.4,23.6,1.4
1982-06-09,1982,6,34.1,25.6,13.0
1982-06-10,1982,6,38.6,32.2,4.9
1982-06-11,1982,6,35.0,28.4,3.2
1982-06-12,1982,6,33.1,26.2,15.2
1982-06-13,1982,6,37.7,29.1,18.8
1982-06-14,1982,6,36.3,29.6,2.5
1982-06-15,1982,6,36.0,29.4,5.8
1982-06-16,1982,6,32.0,24.4,2.0
1982-06-17,1982,6,28.4,19.6,0.6
1982-06-18,1982,6,39.5,30.4,5.7
1982-06-19,1982,6,36.1,28.5,1.0
1982-06-20,1982,6,31.6,26.4,3.7
1982-06-21,1982,6,39.8,32.7,1.5
1982-06-22,1982,6,32.4,22.2,1.0
1982-06-23,1982,6,39.9,31.3,2.5
1982-06-24,1982,6,33.0,22.8,0.3
1982-06-25,1982,6,37.9,28.3,1.4
1982-06-26,1982,6,34.7,26.7,0.3
1982-06-27,1982,6,32.1,21.5,5.5
1982-06-28,1982,6,30.4,20.2,7.6
1982-06-29,1982,6,37.2,31.4,0.0
1982-06-30,1982,6,41.3,32.8,0.9
1982-07-01,1982,7,36.5,26.9,1.5
1982-07-02,1982,7,32.2,19.7,0.3
1982-07-03,1982,7,36.8,29.6,0.0
1982-07-04,1982,7,33.5,26.0,16.1
1982-07-05,1982,7,29.2,21.5,0.8
1982-07-06,1982,7,25.9,18.1,2.5
1982-07-07,1982,7,36.5,31.4,4.2
1982-07-08,1982,7,34.8,28.8,1.4
1982-07-09,1982,7,32.2,24.1,3.0
1982-07-10,1982,7,27.9,19.2,0.6
1982-07-11,1982,7,30.4,23.3,1.8
1982-07-12,1982,7,29.4,19.6,7.0
1982-07-13,1982,7,32.9,27.5,2.2
1982-07-14,1982,7,32.5,21.2,4.4
1982-07-15,1982,7,33.2,25.1,3.4
1982-07-16,1982,7,32.0,22.6,1.1
1982-07-17,1982,7,30.0,21.6,0.0
1982-07-18,1982,7,32.2,22.7,0.0
1982-07-19,1982,7,32.1,23.7,1.7
1982-07-20,1982,7,37.6,31.4,4.5
1982-07-21,1982,7,34.2,24.8,3.5
1982-07-22,1982,7,36.2,27.5,7.5
1982-07-23,1982,7,33.0,26.2,4.2
1982-07-24,1982,7,30.8,23.6,0.6
1982-07-25,1982,7,29.9,20.0,6.9
1982-07-26,1982,7,35.4,26.9,1.4
1982-07-27,1982,7,37.4,30.9,4.7
1982-07-28,1982,7,28.1,24.4,1.1
1982-07-29,1982,7,32.9,21.6,3.6
1982-07-30,1982,7,35.6,28.5,3.7
1982-07-31,1982,7,33.4,23.8,2.6
1982-08-01,1982,8,27.6,19.4,4.1
1982-08-02,1982,8,29.8,21.6,0.4
1982-08-03,1982,8,27.6,21.0,0.0
1982-08-04,1982,8,31.3,23.6,1.4
1982-08-05,1982,8,27.8,20.1,0.8
1982-08-06,1982,8,27.9,18.9,0.0
1982-08-07,1982,8,29.7,24.0,0.0
